period,hour,storage,inflow,demand,pump_flow,actual_supply,shortage,supply_rate,energy_kwh,electricity_price,energy_cost
t00,0,34960.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t01,1,34920.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t02,2,34880.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t03,3,34840.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t04,4,34800.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t05,5,34760.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t06,6,34720.0,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t07,7,34665.0,0.0,55.0,55.0,55.0,0.0,100.0,7.15,0.8,5.720000000000001
t08,8,34599.0192378865,0.0,65.98076211353316,65.9807621135333,65.9807621135333,0.0,100.0,8.577499074759329,1.2,10.292998889711194
t09,9,34539.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,1.2,9.360000000000001
t10,10,34479.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,1.2,9.360000000000001
t11,11,34419.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,1.2,9.360000000000001
t12,12,34359.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,0.8,6.240000000000001
t13,13,34299.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,0.8,6.240000000000001
t14,14,34239.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,0.8,6.240000000000001
t15,15,34179.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,0.8,6.240000000000001
t16,16,34119.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,0.8,6.240000000000001
t17,17,34059.0192378865,0.0,60.0,60.0,60.0,0.0,100.0,7.800000000000001,0.8,6.240000000000001
t18,18,33992.838897999,0.0,66.18033988749895,66.1803398874981,66.1803398874981,0.0,100.0,8.603444185374753,1.2,10.324133022449704
t19,19,33921.0831929531,0.0,71.75570504584947,71.755705045849,71.755705045849,0.0,100.0,9.32824165596037,1.2,11.193889987152444
t20,20,33844.9028530656,0.0,76.18033988749895,76.1803398874981,76.1803398874981,0.0,100.0,9.903444185374754,1.2,11.884133022449705
t21,21,33765.8817227397,0.0,79.02113032590307,79.0211303259057,79.0211303259057,0.0,100.0,10.27274694236774,1.2,12.327296330841289
t22,22,33715.8817227397,0.0,50.0,50.0,50.0,0.0,100.0,6.5,0.4,2.6
t23,23,33665.8817227397,0.0,50.0,50.0,50.0,0.0,100.0,6.5,0.4,2.6
t24,24,33633.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t25,25,33601.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t26,26,33569.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t27,27,33537.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t28,28,33505.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t29,29,33473.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t30,30,33441.8817227397,0.0,32.0,32.0,32.0,0.0,100.0,4.16,0.4,1.6640000000000001
t31,31,33397.8817227397,0.0,44.0,44.0,44.0,0.0,100.0,5.720000000000001,0.8,4.5760000000000005
t32,32,33345.0971130489,0.0,52.78460969082653,52.7846096908252,52.7846096908252,0.0,100.0,6.861999259807276,1.2,8.234399111768731
t33,33,33297.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,1.2,7.4879999999999995
t34,34,33249.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,1.2,7.4879999999999995
t35,35,33201.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,1.2,7.4879999999999995
t36,36,33153.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.8,4.992000000000001
t37,37,33105.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.8,4.992000000000001
t38,38,33057.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.8,4.992000000000001
t39,39,33009.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.8,4.992000000000001
t40,40,32961.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.8,4.992000000000001
t41,41,32913.0971130489,0.0,48.0,48.0,48.0,0.0,100.0,6.24,0.8,4.992000000000001
t42,42,32860.1528411389,0.0,52.94427190999916,52.944271909997,52.944271909997,0.0,100.0,6.88275534829961,1.2,8.259306417959532
t43,43,32802.7482771022,0.0,57.404564036679574,57.4045640366821,57.4045640366821,0.0,100.0,7.462593324768673,1.2,8.955111989722408
t44,44,32741.8040051922,0.0,60.94427190999916,60.944271909997,60.944271909997,0.0,100.0,7.92275534829961,1.2,9.507306417959532
t45,45,32678.5871009315,0.0,63.21690426072246,63.2169042607238,63.2169042607238,0.0,100.0,8.218197553894095,1.2,9.861837064672914
t46,46,32638.5871009315,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
t47,47,32598.5871009315,0.0,40.0,40.0,40.0,0.0,100.0,5.2,0.4,2.08
