time,pool1_depth,pool2_depth,pool3_depth,pool4_depth,gate0_flow,gate1_flow,gate2_flow,gate3_flow,gate4_flow,offtake1,offtake2,offtake3
0,2.0447268407254677,1.8415993819192298,1.5815059915289518,1.5544616716404294,18.0,18.0,18.0,18.0,18.0,2.0,3.0,2.5
15,2.0478124503996304,1.8455741072348983,1.5880977611588833,1.5643152421835005,16.0,16.0,16.0,16.0,16.0,2.0,3.0,2.5
30,2.050944538029912,1.850387433970972,1.595425132759175,1.575383483671851,14.621466835889416,14.0,14.0,14.0,14.0,2.0,3.0,2.5
45,2.054404658887842,1.8560083876925109,1.6034980568904451,1.5876561208327826,14.141527395009275,12.0,12.0,12.0,12.0,2.0,3.0,2.5
60,2.044195938352155,1.8624327892062729,1.6123080346184748,1.6011218938178151,16.141527395009277,12.975400692882788,10.0,10.0,10.0,6.0,3.0,2.5
75,2.0388082698548007,1.8509980760498976,1.6212174683229148,1.6149027257917226,18.141527395009277,14.975400692882788,11.046356952663867,8.170097588716727,8.178262364572408,6.0,7.0,2.5
90,2.033371984252206,1.8459084734750613,1.6053633769571993,1.6158090226792003,20.141527395009277,16.975400692882786,13.046356952663867,9.226440174350731,9.231997768148933,6.0,7.0,6.5
105,2.0279297014995366,1.8390030304429612,1.606239538774147,1.6211826029509828,22.141527395009277,18.975400692882786,15.046356952663867,9.226440174350731,9.231997768148933,6.0,7.0,6.5
120,2.022465096104252,1.8306422674599185,1.6071474237431354,1.6265488909347854,24.141527395009277,20.975400692882786,17.046356952663867,9.226440174350731,9.231997768148933,6.0,7.0,6.5
135,2.0169764837900295,1.824506641295209,1.6052775909211818,1.6282458242202853,26.141527395009277,22.975400692882786,17.685915541818076,9.978937226475754,9.988807200395257,6.0,7.0,6.5
150,2.0142661502127384,1.8227064057513633,1.608158122716349,1.6361251978179974,28.141527395009277,23.64106399570067,16.897544377998575,9.36369068640267,9.37128681961764,6.0,7.0,6.5
165,2.0121006757275732,1.8174952522621488,1.6074949221092911,1.6393370299307686,30.141527395009277,24.337510564140096,17.815611789034207,9.782578317679077,9.795914760739148,6.0,7.0,6.5
